Mean_X,Mean_Y,Mean_Z,Std_X,Std_Y,Std_Z,Sqrt_X,Sqrt_Y,Sqrt_Z,Median_X,Median_Y,Median_Z,Max_vx,Max_vy,Max_vz,Max_ax,Max_ay,Max_az,Label
1.107474518,-0.428100702,4.866437208,4.983064469,3.332027188,4.982070693,140.9148294,92.73547282,192.310038,0.97716796,0.00958738,7.03058,39.13613851,42.303107,75.233551,40.37975233,71.345113,111.645925,0
-2.487965303,-0.564518099,4.735031995,5.344512765,4.848018863,5.1626475,134.1963195,111.0859932,159.5069634,-1.6741186,-0.07137272,6.119275,61.258485,47.102274,33.0783366,61.258485,65.2516955,66.1566732,0
-1.47074293,-3.888072393,2.541984433,5.372127283,6.878737989,5.637959677,148.0009646,209.9848143,164.3464123,-0.22796659,-2.2932312,2.384242,42.522614,48.212816,45.215911,58.103412,100.469747,64.256316,0
2.264501353,-3.701036341,2.687543456,5.136646754,5.011481688,5.332546952,164.4486945,182.5237643,174.9359862,3.3470397,-4.63077,3.3973353,38.59604944,41.044652,40.6555623,59.881164,48.123132,81.3111246,0
1.345079002,-1.816368117,4.5733503,4.268018919,4.307274679,5.646940754,111.073609,116.0345341,180.4102403,0.41225734,-1.4530207,6.2653713,36.3563294,39.25181196,42.2361677,46.5160014,55.28766396,79.9071062,0
-3.277772664,-0.480802343,4.461630488,4.542550919,3.165545517,4.817541242,155.0700573,88.6179877,181.7852618,-2.8524683,0.11717909,6.6401916,40.8980859,27.1909908,37.1859961,48.4902979,41.8637374,74.3719922,0
1.065647316,-2.019868739,4.513775161,3.900063421,4.258711105,5.716859672,103.478647,120.6477551,186.4738062,0.31158985,-0.602939665,6.16478035,41.6032909,40.3735354,52.668876,63.2590569,68.8527124,88.5985023,0
1.585344046,-1.045626999,4.735533342,4.671302446,3.674743387,5.194039333,122.5431646,94.90778934,174.6547283,3.0009594,-0.920885,6.4749353,33.287758,39.791901,40.50536,43.7851285,52.626811,81.01072,0
0.594155116,-1.901796021,4.651075946,5.418537388,4.519937969,5.560889297,128.5344183,115.644126,171.0051665,0.18429075,-1.7579443,6.75156,39.8434741,46.210119,41.2361313,50.2757363,58.029541,82.4722626,0
1.418054567,-1.546524276,4.560448233,3.065584928,4.298395109,6.005516415,80.7240528,109.1695207,180.2500858,0.173638105,-0.14114754,5.5636305,30.872367,40.1157415,39.4422261,34.8319,60.1213395,78.8844522,0
-2.531153476,1.764931377,4.601697493,4.666672569,4.280522845,4.310429823,138.3608698,120.6624257,164.3627368,-1.7363892,1.94295965,5.76541085,48.852416,57.787032,34.4876813,50.9949608,124.579139,70.8081208,0
1.606067401,-1.924795595,4.561827238,4.841637815,3.823985973,4.596352743,133.5174231,112.0633035,169.5507823,1.1232642,-1.902843,6.38991225,39.53561268,43.3935603,32.982509,53.7015515,43.3935603,63.747229,0
-2.193742698,-0.188861776,4.467818307,4.802249369,3.357313781,4.705432531,155.0235205,98.72620357,190.5578986,-1.7435743,-0.004261058,5.908513,40.03096063,12.57226438,28.95922244,57.011441,26.72164876,53.67207488,0
-2.687744023,0.940148529,4.414028518,5.319836902,4.266394926,4.894551356,137.5002855,100.7702263,152.0845587,-1.0083032,0.46223876,5.7839723,47.534683,46.993618,34.1425356,68.368956,69.6526,68.2850712,0
-2.15689384,-0.992429186,4.456906459,4.778536382,5.38294045,5.332605094,126.1720816,131.7132599,167.290062,-1.42264155,0.002130529,4.63196785,39.3085957,40.5887189,41.8571805,66.2094557,60.2549938,83.714361,0
-2.54334106,0.686993502,4.457724486,5.029215567,4.152423629,5.239864508,140.6909414,105.0554929,171.7698929,-0.94782897,0.440084825,6.2947102,50.946726,52.757763,36.6118186,70.038623,116.867646,73.2236372,0
-2.899949443,0.470044764,4.423152294,5.47621882,2.722525041,4.48861203,187.0550897,83.39041363,190.2554023,-1.36755615,0.3873944,5.86240885,49.356286,32.538735,28.213609,49.356286,66.719709,60.6318817,0
1.877950482,-0.752109695,4.418405363,4.38061497,4.470871209,6.527531402,108.3879593,103.088161,179.2797672,0.84315683,-0.07510114,5.601352,20.5580101,38.77883454,41.1956514,37.8770574,63.11822054,82.3913028,0
-4.098045445,0.296485497,3.784416566,5.711063803,2.999162091,4.050716641,188.6588372,80.8687781,148.7951744,-3.1374755,0.18920654,5.1193542,39.70925076,13.8205126,33.76843598,53.8621245,29.15605572,60.06800496,0
-2.54859256,0.063099301,4.628439471,4.953077293,3.027356205,5.338913612,174.3077731,94.74346883,221.1321267,-1.0347746,-0.016511599,6.32045655,47.201256,54.543683,36.3199362,63.613515,121.261743,72.6398724,0
-2.353652099,1.600678834,4.357648569,5.363826954,5.045262671,5.581975547,128.4865851,116.0976577,155.3704014,-0.99065775,1.8866767,5.2678454,47.173559,40.596916,35.5199224,50.504467,69.00424276,71.0398448,0
-2.644705734,1.562247609,4.380826615,5.35384659,2.995302348,4.954084668,142.0897698,80.38587837,157.3943245,-0.24501082,1.7747095,5.8953404,48.26439,23.6627927,35.3377623,58.000143,44.824466,70.6755246,0
1.616211193,-2.812768742,3.591584578,3.967752709,5.031693468,7.350204286,87.29272715,117.4657339,166.6936332,1.58550295,-1.68968625,3.65779355,23.528546,40.339447,70.320168,51.609038,73.223065,104.8248053,0
1.330762742,-3.70599633,2.419438054,3.813160623,5.457740725,5.186047748,104.8592776,171.3100094,148.5884445,1.2633728,-3.202141,1.3843213,18.1571486,39.15700342,39.1982806,32.468694,62.96709042,74.424109,0
-2.374867584,-0.093858247,4.774805014,4.825091772,3.711685224,5.158237274,137.0244424,94.58723045,179.1295792,-1.1195929,-0.2396845,6.56834135,43.6805566,39.28749463,34.5324224,58.715456,113.3917946,69.0648448,0
-2.908966296,0.178511003,4.169565525,5.808312754,3.934768608,4.692895377,145.4302295,88.16281089,140.5740576,-1.1819109,0.10176602,5.0558863,37.8780612,17.9240143,34.6324319,41.04325565,30.883088,67.8170768,0
-3.256620692,0.418117895,4.38343995,5.556545224,2.889685818,4.500063046,181.1681461,82.11902473,176.7374298,-2.11599985,-0.008522116,6.2911177,39.3491914,31.6130241,34.93155535,56.8681655,47.0955912,70.8055507,0
-2.642579548,0.477100177,4.729840268,5.136563375,3.224389161,5.194486016,152.5258591,86.05446952,185.5321021,-3.0811926,0.058079224,6.63480275,43.3471287,18.626954,33.294585,56.66386195,51.436328,66.58917,0
1.399485809,-2.06382126,4.305069413,3.756377677,4.87615525,4.556439793,117.2900928,154.9299449,183.452592,2.2632935,-2.5023062,6.6413894,34.1922463,41.668897,39.5711231,50.7597923,44.1412809,79.1422462,0
0.872332954,-2.565161852,3.438351546,3.927385891,5.57187065,6.076008366,95.71653333,145.9547247,166.1286879,0.23116238,-0.21092236,3.4703834,28.9288545,46.22291,40.1602143,63.3800133,46.406128,80.3204286,0
-3.227686418,-0.071296952,3.377180011,6.872184781,4.003722782,4.854405424,169.2924244,89.27116069,131.8779435,-1.1771521,0.12463594,2.8692334,38.73027275,15.30776784,26.29606,49.0978406,28.58479354,51.864034,0
-3.064653613,0.864057431,4.083286568,6.222890116,3.179368051,4.573573381,178.9045558,84.96649889,158.1599096,-1.1130853,0.119309615,5.8474402,46.924576,24.230191,30.9939212,54.05814,37.8241,60.8514054,0
-0.949768338,-0.231328431,4.763264969,3.839031854,4.569458032,5.498919943,105.3082234,121.8272397,193.7725461,-0.286846995,-0.069282756,5.7372694,29.542406,43.5075434,42.0673193,34.02068984,70.1712954,81.0564098,0
-0.376366848,-1.397402645,4.604926697,3.749277605,4.168761703,4.404732146,133.4899005,155.7650302,225.7941748,-0.172507125,-0.09800433,5.3630475,36.112918,36.91346826,40.7514361,52.340945,57.89503626,79.4371672,0
1.069793743,-0.92564967,4.719265716,4.852489648,4.422640335,5.523222755,132.3145668,120.317116,193.498035,0.91452955,-0.37662695,6.85215065,37.4370417,44.7123574,61.884909,54.4847887,74.4429314,87.1825005,0
-1.000267372,-2.379533308,3.429141056,17.65652217,12.6567727,11.55698944,215.8732122,157.2202825,147.1899724,-0.1101709,-1.0641992,2.65623685,74.905433,69.103499,56.282959,121.919731,115.0704375,78.933114,1
2.240783923,-1.489897362,3.182022888,21.13247657,12.60286525,11.84573026,259.4105244,154.9160056,149.7553602,1.9290004,-0.194396565,1.7453704,76.65739,44.4194096,73.616913,114.5711339,73.749383,116.9353,1
1.688209712,-2.365540231,1.587004991,20.21466992,10.21859562,9.469953214,247.6162493,128.0542926,117.2182144,0.6247776,-0.6924158,1.6706251,76.644218,49.89913,65.436724,117.0111895,84.8046751,107.3212495,1
-0.19568537,-2.508407219,-0.972259809,18.6150406,10.52177473,7.14021264,227.2381673,132.0578275,87.96707461,-0.12553245,-1.40210015,-0.5310956,70.344118,45.4190075,39.584249,106.5309012,67.8807005,54.584867,1
